Timestamp,BR,RtoR
25/06/2018 12:58:56.251,1657,4.128
25/06/2018 12:58:56.307,1657,4.128
25/06/2018 12:58:56.363,1657,4.128
25/06/2018 12:58:56.419,1657,4.128
25/06/2018 12:58:56.475,1657,4.128
25/06/2018 12:58:56.531,1657,4.128
25/06/2018 12:58:56.587,1657,4.128
25/06/2018 12:58:56.643,1657,4.128
25/06/2018 12:58:56.699,1657,4.128
25/06/2018 12:58:56.755,1658,4.128
25/06/2018 12:58:56.811,1658,4.128
25/06/2018 12:58:56.867,1659,4.128
25/06/2018 12:58:56.923,1659,4.128
25/06/2018 12:58:56.979,1659,4.128
25/06/2018 12:58:57.035,1658,4.128
25/06/2018 12:58:57.091,1658,4.128
25/06/2018 12:58:57.147,1660,4.128
25/06/2018 12:58:57.203,1663,4.128
25/06/2018 12:58:57.259,1663,4.128
25/06/2018 12:58:57.315,1662,4.128
25/06/2018 12:58:57.371,1662,4.128
25/06/2018 12:58:57.427,1661,4.128
25/06/2018 12:58:57.483,1661,4.128
25/06/2018 12:58:57.539,1671,4.128
25/06/2018 12:58:57.595,1673,4.128
25/06/2018 12:58:57.651,1675,4.128
25/06/2018 12:58:57.707,1679,4.128
25/06/2018 12:58:57.763,1680,4.128
25/06/2018 12:58:57.819,1680,4.128
25/06/2018 12:58:57.875,1680,4.128
25/06/2018 12:58:57.931,1681,4.128
25/06/2018 12:58:57.987,1681,4.128
25/06/2018 12:58:58.043,1680,4.128
25/06/2018 12:58:58.099,1680,4.128
25/06/2018 12:58:58.155,1681,4.128
25/06/2018 12:58:58.211,1680,4.128
25/06/2018 12:58:58.267,1679,4.128
25/06/2018 12:58:58.323,1679,4.128
25/06/2018 12:58:58.379,1680,4.128
25/06/2018 12:58:58.435,1680,4.128
25/06/2018 12:58:58.491,1680,4.128
25/06/2018 12:58:58.547,1681,4.128
25/06/2018 12:58:58.603,1681,4.128
25/06/2018 12:58:58.659,1682,4.128
25/06/2018 12:58:58.715,1682,4.128
25/06/2018 12:58:58.771,1681,4.128
25/06/2018 12:58:58.827,1682,4.128
25/06/2018 12:58:58.883,1681,4.128
25/06/2018 12:58:58.939,1677,4.128
